"idGame","slugTeam","idTeam","teamName","cityTeam","minExact","ptsOffTOV","ptsSecondChance","ptsFastBreak","ptsPaint","ptsOffTOVOpponent","ptsSecondChanceOpponent","ptsFastBreakOpponent","ptsPaintOpponent","blk","blka","pf","pfd"
21900241,"ORL",1610612753,"Magic","Orlando",240,15,10,7,30,8,17,11,38,7,5,21,20
21900241,"DET",1610612765,"Pistons","Detroit",240,8,17,11,38,15,10,7,30,5,7,20,21
21900242,"MEM",1610612763,"Grizzlies","Memphis",240,13,13,23,62,20,11,16,50,5,6,16,11
21900242,"IND",1610612754,"Pacers","Indiana",240,20,11,16,50,13,13,23,62,6,5,11,16
21900243,"MIN",1610612750,"Timberwolves","Minnesota",240,20,17,3,46,15,18,9,50,6,4,25,25
21900243,"ATL",1610612737,"Hawks","Atlanta",240,15,18,9,50,20,17,3,46,4,6,25,25
21900244,"SAC",1610612758,"Kings","Sacramento",240,13,18,7,26,14,14,13,50,8,4,18,16
21900244,"BOS",1610612738,"Celtics","Boston",240,14,14,13,50,13,18,7,26,4,8,16,18
21900245,"MIA",1610612748,"Heat","Miami",240,17,12,9,44,29,15,15,52,3,0,23,24
21900245,"CHA",1610612766,"Hornets","Charlotte",240,29,15,15,52,17,12,9,44,0,3,24,23
21900246,"TOR",1610612761,"Raptors","Toronto",240,14,11,13,44,6,7,7,28,5,3,18,20
21900246,"PHI",1610612755,"76ers","Philadelphia",240,6,7,7,28,14,11,13,44,3,5,20,18
21900247,"POR",1610612757,"Trail Blazers","Portland",240,24,16,11,50,13,8,8,48,5,4,20,20
21900247,"CHI",1610612741,"Bulls","Chicago",240,13,8,8,48,24,16,11,50,4,5,20,20
21900248,"UTA",1610612762,"Jazz","Utah",240,18,2,11,38,20,28,22,58,6,6,23,15
21900248,"MIL",1610612749,"Bucks","Milwaukee",240,20,28,22,58,18,2,11,38,6,6,15,23
21900249,"SAS",1610612759,"Spurs","San Antonio",240,16,12,6,28,15,19,12,48,5,6,22,18
21900249,"LAL",1610612747,"Lakers","Los Angeles",240,15,19,12,48,16,12,6,28,6,5,18,22
21900250,"OKC",1610612760,"Thunder","Oklahoma City",240,20,9,14,46,18,16,14,34,13,7,16,17
21900250,"GSW",1610612744,"Warriors","Golden State",240,18,16,14,34,20,9,14,46,7,13,17,16
21900251,"LAC",1610612746,"Clippers","LA",240,18,14,20,48,9,8,13,28,3,2,27,21
21900251,"DAL",1610612742,"Mavericks","Dallas",240,9,8,13,28,18,14,20,48,2,3,21,27
21900252,"WAS",1610612764,"Wizards","Washington",240,21,8,8,56,13,6,15,70,3,6,22,20
21900252,"DEN",1610612743,"Nuggets","Denver",240,13,6,15,70,21,8,8,56,6,3,20,22
21900253,"BOS",1610612738,"Celtics","Boston",240,23,25,21,46,14,10,13,38,5,6,17,22
21900253,"BKN",1610612751,"Nets","Brooklyn",240,14,10,13,38,23,25,21,46,6,5,22,17
21900254,"DET",1610612765,"Pistons","Detroit",240,7,10,7,56,15,9,13,62,2,7,18,18
21900254,"CHA",1610612766,"Hornets","Charlotte",240,15,9,13,62,7,10,7,56,7,2,18,18
21900255,"ORL",1610612753,"Magic","Orlando",240,25,9,24,50,11,14,11,42,6,0,22,15
21900255,"CLE",1610612739,"Cavaliers","Cleveland",240,11,14,11,42,25,9,24,50,0,6,15,22
21900256,"UTA",1610612762,"Jazz","Utah",240,16,9,12,46,22,19,18,58,2,4,21,19
21900256,"IND",1610612754,"Pacers","Indiana",240,22,19,18,58,16,9,12,46,4,2,19,21
21900257,"SAC",1610612758,"Kings","Sacramento",240,17,11,18,40,11,9,23,38,3,10,19,12
21900257,"PHI",1610612755,"76ers","Philadelphia",240,11,9,23,38,17,11,18,40,10,3,12,19
21900258,"TOR",1610612761,"Raptors","Toronto",240,26,26,19,44,20,18,17,36,4,4,18,17
21900258,"NYK",1610612752,"Knicks","New York",240,20,18,17,36,26,26,19,44,4,4,17,18
21900259,"MIA",1610612748,"Heat","Miami",240,17,8,13,40,22,14,15,34,3,2,24,22
21900259,"HOU",1610612745,"Rockets","Houston",240,22,14,15,34,17,8,13,40,2,3,22,24
21900260,"MEM",1610612763,"Grizzlies","Memphis",240,14,21,18,60,14,13,23,58,3,6,22,24
21900260,"LAC",1610612746,"Clippers","LA",240,14,13,23,58,14,21,18,60,6,3,24,22
21900261,"MIL",1610612749,"Bucks","Milwaukee",240,22,16,15,60,8,16,16,48,11,5,23,25
21900261,"ATL",1610612737,"Hawks","Atlanta",240,8,16,16,48,22,16,15,60,5,11,25,23
21900262,"SAS",1610612759,"Spurs","San Antonio",240,9,13,16,52,4,18,12,36,8,6,18,19
21900262,"MIN",1610612750,"Timberwolves","Minnesota",240,4,18,12,36,9,13,16,52,6,8,19,18
21900263,"WAS",1610612764,"Wizards","Washington",240,20,11,16,52,17,14,24,54,5,6,20,21
21900263,"PHX",1610612756,"Suns","Phoenix",240,17,14,24,54,20,11,16,52,6,5,21,20
21900264,"NOP",1610612740,"Pelicans","New Orleans",240,14,11,22,26,19,11,18,62,4,6,23,24
21900264,"LAL",1610612747,"Lakers","Los Angeles",240,19,11,18,62,14,11,22,26,6,4,24,23
21900265,"POR",1610612757,"Trail Blazers","Portland",240,9,14,9,52,4,7,11,42,1,2,32,21
21900265,"OKC",1610612760,"Thunder","Oklahoma City",240,4,7,11,42,9,14,9,52,2,1,21,32
21900266,"GSW",1610612744,"Warriors","Golden State",240,13,11,17,52,28,11,18,40,9,4,17,20
21900266,"CHI",1610612741,"Bulls","Chicago",240,28,11,18,40,13,11,17,52,4,9,20,17
21900267,"BOS",1610612738,"Celtics","Boston",240,21,13,19,50,23,13,8,48,7,6,14,24
21900267,"BKN",1610612751,"Nets","Brooklyn",240,23,13,8,48,21,13,19,50,6,7,24,14
21900268,"DET",1610612765,"Pistons","Detroit",240,10,12,15,46,14,9,10,40,4,6,16,17
21900268,"CHA",1610612766,"Hornets","Charlotte",240,14,9,10,40,10,12,15,46,6,4,17,16
21900269,"TOR",1610612761,"Raptors","Toronto",240,18,13,18,38,13,14,10,34,4,11,20,19
21900269,"ORL",1610612753,"Magic","Orlando",240,13,14,10,34,18,13,18,38,11,4,19,20
21900270,"MIL",1610612749,"Bucks","Milwaukee",240,17,14,13,54,14,3,8,44,4,1,15,22
21900270,"CLE",1610612739,"Cavaliers","Cleveland",240,14,3,8,44,17,14,13,54,1,4,22,15
21900271,"PHI",1610612755,"76ers","Philadelphia",240,14,12,6,36,18,11,5,42,10,4,23,33
21900271,"NYK",1610612752,"Knicks","New York",240,18,11,5,42,14,12,6,36,4,10,33,23
21900272,"IND",1610612754,"Pacers","Indiana",265,23,13,17,44,18,14,10,56,6,3,20,27
21900272,"ATL",1610612737,"Hawks","Atlanta",265,18,14,10,56,23,13,17,44,3,6,27,20
21900273,"MIA",1610612748,"Heat","Miami",240,14,11,8,54,15,11,7,34,3,3,30,23
21900273,"GSW",1610612744,"Warriors","Golden State",240,15,11,7,34,14,11,8,54,3,3,23,30
21900274,"UTA",1610612762,"Jazz","Utah",240,12,17,8,48,2,21,17,52,2,8,15,17
21900274,"MEM",1610612763,"Grizzlies","Memphis",240,2,21,17,52,12,17,8,48,8,2,17,15
21900275,"OKC",1610612760,"Thunder","Oklahoma City",240,18,7,4,50,16,8,9,52,8,3,17,12
21900275,"NOP",1610612740,"Pelicans","New Orleans",240,16,8,9,52,18,7,4,50,3,8,12,17
21900276,"SAS",1610612759,"Spurs","San Antonio",240,16,11,22,38,15,14,6,44,8,5,15,17
21900276,"LAC",1610612746,"Clippers","LA",240,15,14,6,44,16,11,22,38,5,8,17,15
21900277,"PHX",1610612756,"Suns","Phoenix",240,12,20,8,44,8,12,12,32,3,3,29,24
21900277,"DAL",1610612742,"Mavericks","Dallas",240,8,12,12,32,12,20,8,44,3,3,24,29
21900278,"POR",1610612757,"Trail Blazers","Portland",240,3,6,10,42,18,18,19,40,11,2,21,22
21900278,"CHI",1610612741,"Bulls","Chicago",240,18,18,19,40,3,6,10,42,2,11,22,21
21900279,"WAS",1610612764,"Wizards","Washington",240,17,10,12,36,18,22,28,56,2,8,23,20
21900279,"LAL",1610612747,"Lakers","Los Angeles",240,18,22,28,56,17,10,12,36,8,2,20,23
21900280,"SAC",1610612758,"Kings","Sacramento",265,18,18,8,52,18,4,7,46,4,5,23,21
21900280,"DEN",1610612743,"Nuggets","Denver",265,18,4,7,46,18,18,8,52,5,4,21,23
21900281,"PHI",1610612755,"76ers","Philadelphia",240,23,9,11,46,16,8,14,44,5,3,16,24
21900281,"IND",1610612754,"Pacers","Indiana",240,16,8,14,44,23,9,11,46,3,5,24,16
21900282,"HOU",1610612745,"Rockets","Houston",240,19,20,12,52,17,3,16,46,2,2,23,23
21900282,"ATL",1610612737,"Hawks","Atlanta",240,17,3,16,46,19,20,12,52,2,2,23,23
21900283,"MIL",1610612749,"Bucks","Milwaukee",240,19,6,34,54,8,18,17,36,3,1,13,18
21900283,"CHA",1610612766,"Hornets","Charlotte",240,8,18,17,36,19,6,34,54,1,3,18,13
21900284,"MIA",1610612748,"Heat","Miami",240,11,21,5,40,7,10,13,50,2,5,17,21
21900284,"BKN",1610612751,"Nets","Brooklyn",240,7,10,13,50,11,21,5,40,5,2,21,17
21900285,"NYK",1610612752,"Knicks","New York",240,12,12,10,42,20,17,17,42,6,7,25,28
