"idGame","namePlayer","passes","fgmContested","fgaContested","pctFGContested","fgmUncontested","fgaUncontested","pctFGUncontested","fgmRimDefended","fgaRimDefended","pctFGRimDefended","distMiles","mphMean","orebChances","drebChances","trebChances","touches","astSecondary","ftAST","ast"
21900006,"Jeff Teague",64,1,2,0.5,4,6,0.667,5,8,0.625,2.23,3.65,2,7,8,80,2,1,4
21900006,"Noah Vonleh",29,0,0,0,1,3,0.333,2,3,0.667,1.08,4.23,1,10,11,33,0,0,1
21900006,"Shabazz Napier",42,0,1,0,1,6,0.167,1,1,1,1.48,3.96,0,3,3,55,0,0,7
21900006,"Jarrett Culver",0,1,2,0.5,-1,-2,0.5,0,0,0,0,0,0,0,0,0,0,0,0
21900006,"Josh Okogie",7,1,1,1,1,4,0.25,0,1,0,1.13,4.33,4,2,6,18,0,0,3
21900006,"Jake Layman",16,3,4,0.75,1,3,0.333,1,4,0.25,1.85,4.55,2,4,6,25,0,0,1
21900006,"Jordan Bell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900006,"Gorgui Dieng",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900006,"Kelan Martin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900006,"Joe Harris",28,1,2,0.5,4,7,0.571,1,2,0.5,3,4.33,1,8,9,38,0,0,2
21900006,"Taurean Prince",29,4,6,0.667,2,7,0.286,2,5,0.4,2.93,4.03,5,14,18,45,0,0,2
21900006,"Jarrett Allen",39,3,6,0.5,0,0,0,7,16,0.438,2.59,4.04,5,17,21,47,0,0,1
21900006,"Caris LeVert",30,4,9,0.444,5,10,0.5,3,5,0.6,2.74,4.14,2,12,14,60,0,0,4
21900006,"Kyrie Irving",54,8,17,0.471,9,16,0.563,0,0,0,2.76,4.1,5,9,14,92,1,2,7
21900006,"David Nwaba",1,0,0,0,0,0,0,0,0,0,1.05,4.44,1,7,8,3,0,0,0
21900006,"DeAndre Jordan",21,0,1,0,0,0,0,1,2,0.5,1.11,3.7,3,5,8,25,0,0,1
21900006,"Garrett Temple",21,2,3,0.667,0,3,0,1,1,1,1.34,4.37,0,0,0,29,0,0,0
21900006,"Spencer Dinwiddie",15,2,8,0.25,4,5,0.8,0,1,0,1.37,4.1,1,9,10,36,0,0,2
21900006,"Rodions Kurucs",7,0,0,0,0,1,0,1,1,1,0.65,4.9,1,2,3,8,0,0,0
