"typeResult","idGame","namePlayer","teamName","PARTIAL_POSS","SWITCHES_ON","ptsPlayerAllowed","dreb","MATCHUP_AST","MATCHUP_TOV","stl","blk","MATCHUP_FGM","MATCHUP_FGA","MATCHUP_FG_PCT","MATCHUP_FG3M","MATCHUP_FG3A","MATCHUP_FG3_PCT"
"player",21900025,"Anthony Davis","Lakers",39.29,0,15,7,5,3,2,5,3,13,0.231,1,3,0.333
"player",21900025,"JaVale McGee","Lakers",13.41,0,6,0,0,0,0,0,3,5,0.6,0,0,0
"player",21900025,"Danny Green","Lakers",33.42,0,18,2,0,3,3,1,7,13,0.538,0,2,0
"player",21900025,"Avery Bradley","Lakers",32.51,0,10,5,2,3,2,1,4,8,0.5,0,1,0
"player",21900025,"Kentavious Caldwell-Pope","Lakers",26.33,0,10,2,0,1,2,0,3,5,0.6,2,4,0.5
"player",21900025,"Dwight Howard","Lakers",23.89,0,6,4,1,3,2,2,1,6,0.167,0,0,0
"player",21900025,"Quinn Cook","Lakers",27.75,0,8,1,3,1,0,0,3,10,0.3,2,9,0.222
"player",21900025,"Troy Daniels","Lakers",25.08,0,2,3,1,3,1,0,1,4,0.25,0,1,0
"player",21900025,"Jared Dudley","Lakers",8.52,0,3,1,0,2,0,0,1,1,1,1,1,1
"player",21900025,"Alex Caruso","Lakers",25.9,0,2,0,0,2,1,0,1,2,0.5,0,0,0
"player",21900025,"Zach Norvell Jr.","Lakers",3.45,0,0,1,0,0,0,0,0,0,0,0,0,0
"player",21900025,"Kostas Antetokounmpo","Lakers",0.51,0,0,0,0,0,0,0,0,0,0,0,0,0
"player",21900026,"Justise Winslow","Heat",61.31,0,8,9,2,1,1,0,3,14,0.214,1,8,0.125
"player",21900026,"Bam Adebayo","Heat",55.75,0,13,11,5,2,0,1,6,17,0.353,0,7,0
