"typeResult","idGame","slugTeam","namePlayer","groupStartPosition","idTeam","idPlayer","pctAST","pctOREB","pctDREB","pctTREB","pctTOVTeam","pctEFG","pctTS","pctUSG","pctUSGE","cityTeam","isStarter","minExact","ortgE","ortg","drtgE","drtg","netrtgE","netrtg","ratioASTtoTOV","ratioAST","paceE","pace","PACE_PER40","possessions","ratioPIE"
"player",21900004,"IND","Aaron Holiday",NA,1610612754,1628988,0.286,0,0.25,0.067,11.1,0,0,0.318,0.35,"Indiana",TRUE,6.73333333333333,100,88.9,102.9,100,-2.9,-11.1,2,22.2,115.91,124.75,103.96,18,-0.172
"player",21900004,"IND","Doug McDermott",NA,1610612754,203926,0.091,0,0,0,16.7,0.75,0.75,0.156,0.167,"Indiana",TRUE,11,111.1,107.1,126.9,117.2,-15.8,-10.1,1,16.7,117.36,124.34,103.62,28,0.084
"player",21900004,"IND","TJ Leaf",NA,1610612754,1628388,0,0,0.333,0.125,0,0,0,0.1,0.106,"Indiana",TRUE,3.36666666666667,82.9,77.8,101.7,87.5,-18.8,-9.7,0,0,109.21,121.19,100.99,9,0
"player",21900004,"IND","T.J. McConnell",NA,1610612754,204456,0.25,0,0.25,0.13,12.5,0.5,0.5,0.152,0.162,"Indiana",TRUE,13.4166666666667,114.3,110,126.6,120.7,-12.4,-10.7,3,37.5,101.1,105.54,87.95,30,0.083
"player",21900005,"CLE","Cedi Osman","F",1610612739,1626224,0.111,0,0.1,0.05,15.4,0.722,0.722,0.157,0.16,"Cleveland",TRUE,28.9833333333333,103.8,103.3,97.4,95,6.4,8.3,1,15.4,98.74,100.2,83.5,61,0.118
"player",21900005,"CLE","Kevin Love","F",1610612739,201567,0.143,0.024,0.415,0.22,12.5,0.444,0.511,0.151,0.158,"Cleveland",TRUE,35.95,85.7,82.9,103.3,98.7,-17.6,-15.8,1.5,18.8,99.47,103.48,86.23,76,0.174
"player",21900005,"CLE","Tristan Thompson","C",1610612739,202684,0.063,0.053,0.257,0.151,7.7,0.727,0.727,0.156,0.161,"Cleveland",TRUE,33.25,89.1,88.7,93.8,90,-4.7,-1.3,1,7.7,99.55,101.77,84.81,71,0.181
"player",21900005,"CLE","Darius Garland","G",1610612739,1629636,0.25,0.029,0.026,0.028,17.6,0.444,0.444,0.164,0.17,"Cleveland",TRUE,31.5333333333333,93,90.9,104.9,100,-12,-9.1,1.67,29.4,97.69,101.23,84.36,66,0.052
"player",21900005,"CLE","Collin Sexton","G",1610612739,1629012,0.111,0.032,0.03,0.031,13.6,0.433,0.477,0.286,0.296,"Cleveland",TRUE,29.9,97.5,95.2,105,101.6,-7.5,-6.3,0.67,9.1,98.31,101.14,84.28,63,0.037
"player",21900005,"CLE","Larry Nance Jr.",NA,1610612739,1626204,0.154,0.108,0.313,0.203,22.2,0.409,0.379,0.242,0.25,"Cleveland",TRUE,26.8,77.2,75.9,81,78.3,-3.7,-2.5,0.5,11.1,102.99,105.67,88.06,58,0.08
"player",21900005,"CLE","Matthew Dellavedova",NA,1610612739,203521,0.375,0,0.048,0.021,0,0.333,0.363,0.156,0.162,"Cleveland",TRUE,18.1,64,62.5,76.1,76.9,-12.2,-14.4,0,30,104.06,104.75,87.29,40,0.08
"player",21900005,"CLE","Jordan Clarkson",NA,1610612739,203903,0,0.037,0.059,0.045,7.1,0.167,0.263,0.304,0.318,"Cleveland",TRUE,18.3166666666667,62.4,61,91.3,90.2,-28.9,-29.3,0,0,105.61,107.44,89.54,41,-0.011
"player",21900005,"CLE","Kevin Porter Jr.",NA,1610612739,1629645,0.2,0,0.043,0.021,0,0,0,0.146,0.158,"Cleveland",TRUE,17.1666666666667,61.3,57.9,71.4,73,-10,-15.1,0,25,103.06,104.85,87.38,38,-0.105
"player",21900005,"ORL","Jonathan Isaac","F",1610612753,1628371,0.111,0.038,0.259,0.151,25,0.333,0.387,0.111,0.116,"Orlando",TRUE,23.9833333333333,98.3,94.1,95.6,96,2.7,-1.9,1,25,99.11,101.07,84.23,51,0.063
"player",21900005,"ORL","Aaron Gordon","F",1610612753,203932,0.15,0,0.054,0.029,6.7,0.313,0.423,0.176,0.187,"Orlando",TRUE,28.8833333333333,91.4,87.5,88,84.6,3.4,2.9,3,20,102.87,107.19,89.32,64,0.034
"player",21900005,"ORL","Nikola Vucevic","C",1610612753,202696,0.143,0.026,0.231,0.128,4.5,0.531,0.577,0.244,0.257,"Orlando",TRUE,34.2166666666667,101.7,95.9,94.7,93.2,7,2.7,3,13.6,98.67,102.41,85.34,73,0.186
"player",21900005,"ORL","Evan Fournier","G",1610612753,203095,0.235,0.033,0.071,0.052,15,0.615,0.576,0.267,0.271,"Orlando",TRUE,28.1,96.4,94.8,110.5,110.2,-14.1,-15.3,1.33,20,99.01,99.93,83.27,58,0.086
"player",21900005,"ORL","D.J. Augustin","G",1610612753,201571,0.294,0,0.125,0.058,0,0.5,0.5,0.153,0.161,"Orlando",TRUE,24.5666666666667,103.9,98.2,88.8,87.3,15.2,10.9,0,35.7,103.59,107.46,89.55,55,0.119
"player",21900005,"ORL","Markelle Fultz",NA,1610612753,1628365,0.6,0,0,0,14.3,0.5,0.5,0.283,0.292,"Orlando",TRUE,23.4333333333333,82.6,83.3,79.5,78.7,3.1,4.6,2,28.6,97.22,97.3,81.08,48,0.174
"player",21900005,"ORL","Al-Farouq Aminu",NA,1610612753,202329,0,0.057,0.139,0.099,12.5,0.3,0.37,0.113,0.119,"Orlando",TRUE,29.1,93,90.5,72.4,68.3,20.6,22.2,0,0,99.53,103.92,86.6,63,0.034
"player",21900005,"ORL","Mo Bamba",NA,1610612753,1628964,0.2,0.067,0.316,0.206,0,0.7,0.7,0.143,0.149,"Orlando",TRUE,13.7833333333333,76.1,77.4,59.1,58.6,17,18.8,0,16.7,104.96,104.47,87.06,31,0.472
"player",21900005,"ORL","Terrence Ross",NA,1610612753,203082,0,0,0.138,0.075,7.1,0.385,0.385,0.28,0.295,"Orlando",TRUE,19.4666666666667,87.3,86,49.1,46.5,38.2,39.5,0,0,102.53,106.03,88.36,43,0.12
"player",21900005,"ORL","Michael Carter-Williams",NA,1610612753,203487,0,0.067,0.059,0.063,33.3,0.5,0.5,0.088,0.093,"Orlando",TRUE,14.4666666666667,96,93.5,79.8,80,16.2,13.5,0,0,100,101.2,84.33,31,0.013
"player",21900006,"MIN","Treveon Graham","F",1610612750,1626203,0.148,0.049,0.103,0.075,0,0.308,0.335,0.148,0.148,"Minnesota",TRUE,34.5666666666667,108.4,110.7,116.1,117.3,-7.7,-6.7,0,23.5,105.79,104.13,86.77,75,0.057
"player",21900006,"MIN","Robert Covington","F",1610612750,203496,0,0.049,0.189,0.115,15.4,0.682,0.682,0.159,0.158,"Minnesota",TRUE,32.7,96.7,101.4,115.8,115.5,-19.1,-14.1,0,0,105.83,103.49,86.24,70,0.096
"player",21900006,"MIN","Karl-Anthony Towns","C",1610612750,1626157,0.12,0.021,0.302,0.154,9.7,0.659,0.705,0.283,0.287,"Minnesota",TRUE,38.6833333333333,109.7,111.8,113.5,114.3,-3.8,-2.5,1,9.7,106.21,104.87,87.39,85,0.237
