"typeResult","idGame","namePlayer","fgContested","fg2Contested","fg3Contested","boxOutsPlayerTeamRebound","screenAssist","ptsScreenAssist","pts","deflections","chargesDrawn","looseBallsRecoveredOffense","looseBallsRecoveredDefense","looseBallsRecovered","boxOutsOffense","boxOutsDefense","boxOutsPlayerTREB","boxOuts"
"player",21900008,"Enes Kanter",7,5,2,"1",4,10,12,0,0,1,0,1,0,3,0,3
"player",21900008,"Jaylen Brown",3,2,1,"4",1,2,8,2,0,0,0,0,1,3,1,4
"player",21900008,"Kemba Walker",3,1,2,"0",0,0,12,1,1,1,0,1,0,1,0,1
"player",21900008,"Marcus Smart",7,5,2,"1",1,2,4,0,1,1,0,1,0,3,1,3
"player",21900008,"Daniel Theis",7,5,2,"3",0,0,3,1,0,0,0,0,1,4,1,5
"player",21900008,"Semi Ojeleye",3,3,0,"2",0,0,0,1,1,0,0,0,0,2,1,2
"player",21900008,"Carsen Edwards",2,1,1,"1",0,0,3,1,0,0,0,0,0,1,0,1
"player",21900008,"Grant Williams",3,1,2,"1",0,0,0,0,0,0,0,0,0,2,0,2
"player",21900008,"Brad Wanamaker",0,0,0,"0",0,0,0,0,0,1,0,1,0,0,0,0
"player",21900008,"Robert Williams III",5,4,1,"1",2,5,5,1,0,0,0,0,1,0,0,1
"player",21900008,"Tobias Harris",5,3,2,"3",0,0,15,2,0,1,0,1,1,4,2,5
"player",21900008,"Al Horford",15,12,3,"5",0,0,16,2,0,0,1,1,1,5,1,6
"player",21900008,"Joel Embiid",5,4,1,"8",1,2,15,1,0,0,0,0,1,8,3,9
"player",21900008,"Josh Richardson",12,6,6,"0",1,2,17,3,0,0,1,1,0,0,0,0
"player",21900008,"Ben Simmons",2,1,1,"0",0,0,24,0,0,3,0,3,0,0,0,0
"player",21900008,"James Ennis III",3,2,1,"0",1,3,3,0,0,1,1,2,0,0,0,0
"player",21900008,"Matisse Thybulle",4,3,1,"0",0,0,3,4,0,0,1,1,0,0,0,0
"player",21900008,"Furkan Korkmaz",4,4,0,"0",0,0,3,2,1,0,0,0,0,0,0,0
"player",21900008,"Mike Scott",3,0,3,"1",0,0,6,0,0,0,0,0,0,1,0,1
"player",21900008,"Kyle O'Quinn",0,0,0,"1",1,2,5,0,0,0,0,0,0,1,0,1
"player",21900008,"Shake Milton",1,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,0
"player",21900008,"Raul Neto",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0
"player",21900009,"Isaac Bonga",8,5,3,"0",0,0,9,0,0,0,0,0,0,1,0,1
"player",21900009,"Rui Hachimura",6,2,4,"1",0,0,14,0,0,1,0,1,0,1,0,1
"player",21900009,"Thomas Bryant",14,5,9,"3",2,4,14,0,0,1,0,1,1,4,2,5
"player",21900009,"Bradley Beal",4,1,3,"0",0,0,19,4,1,0,0,0,0,0,0,0
"player",21900009,"Ish Smith",3,2,1,"0",0,0,7,1,0,0,0,0,0,0,0,0
"player",21900009,"Davis Bertans",6,3,3,"0",1,2,7,2,0,1,1,2,0,1,0,1
"player",21900009,"Admiral Schofield",1,1,0,"0",1,2,0,1,0,0,0,0,0,3,0,3
"player",21900009,"Jordan McRae",7,3,4,"0",0,0,11,0,0,1,0,1,0,0,0,0
"player",21900009,"Moritz Wagner",5,4,1,"0",1,2,13,2,0,0,0,0,0,1,0,1
"player",21900009,"Chris Chiozza",3,2,1,"0",0,0,6,1,0,0,0,0,0,0,0,0
"player",21900009,"Garrison Mathews",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0
"player",21900009,"Justin Robinson",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0
"player",21900009,"Courtney Lee",1,1,0,"1",0,0,4,0,0,0,0,0,0,2,0,2
"player",21900009,"Kristaps Porzingis",12,7,5,"0",1,3,23,2,0,0,0,0,0,0,0,0
"player",21900009,"Maxi Kleber",13,9,4,"1",2,4,0,2,0,0,0,0,0,1,1,1
"player",21900009,"Delon Wright",1,1,0,"0",0,0,5,3,0,0,0,0,0,0,0,0
"player",21900009,"Luka Doncic",5,3,2,"0",0,0,34,1,0,0,0,0,0,0,0,0
"player",21900009,"Tim Hardaway Jr.",8,4,4,"0",0,0,4,0,0,1,0,1,0,1,0,1
"player",21900009,"Dorian Finney-Smith",11,4,7,"2",2,4,10,4,0,1,1,2,0,3,0,3
"player",21900009,"Jalen Brunson",5,2,3,"0",1,2,9,3,1,1,1,2,0,0,0,0
"player",21900009,"Seth Curry",0,0,0,"0",0,0,9,0,0,0,2,2,0,0,0,0
